FEEDBACK CUSTOMERS
"orderid","rating"
"AE-2011-9160","1"
"AG-2011-1440","2"
"AG-2011-2040","4"
"AG-2011-3130","2"
"AG-2011-380","4"
"AG-2011-450","1"
"AG-2011-500","1"
"AG-2011-60","3"
"AG-2011-7230","4"
"AG-2011-9060","4"
"AG-2012-2200","3"
"AG-2012-2430","2"
"AG-2012-4060","2"
"AG-2012-4630","3"
"AG-2012-4750","2"
"AG-2012-6390","2"
"AG-2012-7530","1"
"AG-2013-2970","4"
"AG-2013-5820","3"
"AG-2013-9570","4"
"AG-2014-2110","4"
"AG-2014-2600","5"
"AG-2014-3710","5"
"AG-2014-6650","5"
"AG-2014-7430","4"
"AG-2014-7490","5"
"AG-2014-8710","4"
"AJ-2011-4460","2"
"AJ-2012-7450","2"
"AJ-2013-8630","5"
"AJ-2014-1760","5"
"AL-2011-4500","1"
"AL-2012-9220","1"
"AL-2012-9980","4"
"AO-2011-7110","4"
"AO-2011-9910","1"
"AO-2012-1000","1"
"AO-2012-1220","3"
"AO-2012-1230","4"
"AO-2012-2650","3"
"AO-2012-2810","2"
"AO-2012-3210","3"
"AO-2012-7800","2"
"AO-2012-8920","3"
"AO-2013-1470","5"
"AO-2013-6910","4"
"AO-2013-7170","4"
"AO-2013-7370","3"
"AO-2014-190","4"
"AO-2014-2460","5"
"AO-2014-2730","5"
"AO-2014-4190","5"
"AO-2014-5290","4"
"AO-2014-6900","4"
"AO-2014-9370","4"
"AU-2011-4210","3"
"AU-2011-5790","2"
"AU-2011-790","2"
"AU-2011-9050","4"
"AU-2012-1790","3"
"AU-2012-940","4"
"AU-2014-1430","4"
"AU-2014-1530","5"
"AU-2014-3670","4"
"AU-2014-6650","5"
"AU-2014-7090","5"
"BN-2011-1530","3"
"BN-2012-8190","1"
"BN-2014-4920","4"
"BN-2014-5090","5"
"BN-2014-9200","4"
"BN-2014-9930","4"
"BO-2011-6900","2"
"BO-2012-7210","4"
"BO-2013-2880","3"
"BO-2013-3500","4"
"BO-2014-170","5"
"BO-2014-2490","4"
"BO-2014-8690","4"
"BO-2014-9040","5"
"BO-2014-9490","5"
"BU-2011-5830","3"
"BU-2012-1740","2"
"BU-2013-5690","3"
"BU-2013-6440","3"
"BU-2014-7540","4"
"BY-2012-8590","4"
"CA-2011-100293","1"
"CA-2011-100363","3"
"CA-2011-100391","1"
"CA-2011-100762","2"
"CA-2011-101364","4"
"CA-2011-101462","4"
"CA-2011-101770","3"
"CA-2011-102652","4"
"CA-2011-102869","2"
"CA-2011-103100","4"
"CA-2011-103219","2"
"CA-2011-103331","2"
"CA-2011-103492","4"
"CA-2011-103744","3"
"CA-2011-103849","1"
"CA-2011-103940","3"
"CA-2011-104283","3"
"CA-2011-104472","4"
"CA-2011-104563","1"
"CA-2011-105165","2"
"CA-2011-105417","2"
"CA-2011-105893","2"
"CA-2011-106376","1"
"CA-2011-106803","3"
"CA-2011-106810","1"
"CA-2011-107139","1"
"CA-2011-107398","4"
"CA-2011-107524","4"
"CA-2011-107811","2"
"CA-2011-107916","4"
"CA-2011-108147","4"
"CA-2011-108273","1"
"CA-2011-108707","3"
"CA-2011-109134","2"
"CA-2011-109218","2"
"CA-2011-109232","3"
"CA-2011-109491","4"
"CA-2011-109904","4"
"CA-2011-110065","1"
"CA-2011-110072","4"
"CA-2011-110408","3"
"CA-2011-111192","4"
"CA-2011-111360","3"
"CA-2011-111500","4"
"CA-2011-112291","3"
"CA-2011-112851","2"
"CA-2011-113271","3"
"CA-2011-114181","4"
"CA-2011-114195","2"
"CA-2011-114251","3"
"CA-2011-114335","2"
"CA-2011-114517","4"
"CA-2011-115973","4"
"CA-2011-116190","1"
"CA-2011-116246","4"
